Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2024-12-30 00:00:00+05:30,308.0,317.1000061035156,308.0,316.75,316.75,7693,0.0,0.0
2024-12-31 00:00:00+05:30,329.8999938964844,332.54998779296875,317.0,332.54998779296875,332.54998779296875,6889,0.0,0.0
2025-01-01 00:00:00+05:30,349.1499938964844,349.1499938964844,349.1499938964844,349.1499938964844,349.1499938964844,7274,0.0,0.0
2025-01-02 00:00:00+05:30,366.6000061035156,366.6000061035156,366.6000061035156,366.6000061035156,366.6000061035156,14725,0.0,0.0
2025-01-03 00:00:00+05:30,384.8999938964844,384.8999938964844,351.0,371.6499938964844,371.6499938964844,78026,0.0,0.0
2025-01-06 00:00:00+05:30,353.1000061035156,353.1000061035156,353.1000061035156,353.1000061035156,353.1000061035156,10544,0.0,0.0
2025-01-07 00:00:00+05:30,335.45001220703125,368.04998779296875,335.45001220703125,345.0,345.0,54492,0.0,0.0
2025-01-08 00:00:00+05:30,342.0,350.0,327.75,334.45001220703125,334.45001220703125,28237,0.0,0.0
2025-01-09 00:00:00+05:30,348.0,348.75,317.75,329.3999938964844,329.3999938964844,13274,0.0,0.0
2025-01-10 00:00:00+05:30,330.0,335.0,312.95001220703125,333.04998779296875,333.04998779296875,13473,0.0,0.0
2025-01-13 00:00:00+05:30,317.0,325.0,316.3999938964844,316.3999938964844,316.3999938964844,3535,0.0,0.0
2025-01-14 00:00:00+05:30,312.29998779296875,328.79998779296875,312.29998779296875,319.04998779296875,319.04998779296875,3504,0.0,0.0
2025-01-15 00:00:00+05:30,324.70001220703125,329.0,304.0,321.0,321.0,1781,0.0,0.0
2025-01-16 00:00:00+05:30,319.8999938964844,330.0,310.1499938964844,312.29998779296875,312.29998779296875,3634,0.0,0.0
2025-01-17 00:00:00+05:30,324.0,324.0,297.3999938964844,317.29998779296875,317.29998779296875,3308,0.0,0.0
2025-01-20 00:00:00+05:30,311.0,327.0,305.0,308.25,308.25,3502,0.0,0.0
2025-01-21 00:00:00+05:30,316.29998779296875,322.8999938964844,302.0,304.04998779296875,304.04998779296875,3688,0.0,0.0
2025-01-22 00:00:00+05:30,302.0,313.3500061035156,300.0,302.5,302.5,1668,0.0,0.0
2025-01-23 00:00:00+05:30,309.79998779296875,314.95001220703125,292.20001220703125,295.95001220703125,295.95001220703125,2682,0.0,0.0
2025-01-24 00:00:00+05:30,309.0,309.0,292.20001220703125,304.25,304.25,672,0.0,0.0
2025-01-27 00:00:00+05:30,307.0,307.0,290.0,294.1000061035156,294.1000061035156,1866,0.0,0.0
2025-01-28 00:00:00+05:30,294.0,294.0,279.3999938964844,279.3999938964844,279.3999938964844,2258,0.0,0.0
2025-01-29 00:00:00+05:30,266.1000061035156,293.0,266.1000061035156,279.20001220703125,279.20001220703125,3583,0.0,0.0
2025-01-30 00:00:00+05:30,270.79998779296875,292.95001220703125,270.79998779296875,281.25,281.25,2030,0.0,0.0
2025-01-31 00:00:00+05:30,280.3999938964844,291.0,269.5,289.04998779296875,289.04998779296875,3566,0.0,0.0
2025-02-01 00:00:00+05:30,289.04998779296875,302.75,275.04998779296875,290.0,290.0,1145,0.0,0.0
2025-02-03 00:00:00+05:30,290.0,290.0,276.0,277.1499938964844,277.1499938964844,730,0.0,0.0
2025-02-04 00:00:00+05:30,283.95001220703125,289.0,271.6499938964844,274.5,274.5,1413,0.0,0.0
2025-02-05 00:00:00+05:30,274.5,287.95001220703125,272.0,284.0,284.0,1349,0.0,0.0
2025-02-06 00:00:00+05:30,284.0,284.0,275.79998779296875,278.8999938964844,278.8999938964844,985,0.0,0.0
2025-02-07 00:00:00+05:30,278.0,278.0,265.0,267.95001220703125,267.95001220703125,4437,0.0,0.0
2025-02-10 00:00:00+05:30,255.0,271.54998779296875,255.0,267.0,267.0,1117,0.0,0.0
2025-02-11 00:00:00+05:30,267.0,267.54998779296875,253.64999389648438,263.0,263.0,868,0.0,0.0
2025-02-12 00:00:00+05:30,254.9499969482422,271.95001220703125,254.9499969482422,258.04998779296875,258.04998779296875,597,0.0,0.0
2025-02-13 00:00:00+05:30,258.04998779296875,265.95001220703125,246.0,250.0,250.0,655,0.0,0.0
2025-02-14 00:00:00+05:30,262.5,262.5,237.5,243.9499969482422,243.9499969482422,4956,0.0,0.0
2025-02-17 00:00:00+05:30,244.35000610351562,256.1000061035156,231.8000030517578,251.35000610351562,251.35000610351562,2975,0.0,0.0
2025-02-18 00:00:00+05:30,251.35000610351562,254.5,238.8000030517578,243.60000610351562,243.60000610351562,2756,0.0,0.0
2025-02-19 00:00:00+05:30,249.8000030517578,255.75,249.8000030517578,255.75,255.75,3750,0.0,0.0
2025-02-20 00:00:00+05:30,256.1000061035156,268.5,255.75,268.5,268.5,4765,0.0,0.0
2025-02-21 00:00:00+05:30,272.5,281.8999938964844,265.1000061035156,267.5,267.5,3706,0.0,0.0
2025-02-24 00:00:00+05:30,278.0,278.79998779296875,264.1000061035156,272.70001220703125,272.70001220703125,3221,0.0,0.0
2025-02-25 00:00:00+05:30,281.8999938964844,281.8999938964844,271.0,271.1000061035156,271.1000061035156,614,0.0,0.0
2025-02-27 00:00:00+05:30,266.5,266.5,258.0,258.1000061035156,258.1000061035156,3103,0.0,0.0
2025-02-28 00:00:00+05:30,247.0,255.0,245.1999969482422,245.1999969482422,245.1999969482422,937,0.0,0.0
2025-03-03 00:00:00+05:30,245.1999969482422,248.5,232.9499969482422,235.0,235.0,6068,0.0,0.0
2025-03-04 00:00:00+05:30,245.5,245.5,223.25,223.75,223.75,3584,0.0,0.0
2025-03-05 00:00:00+05:30,224.0,234.0,213.25,231.6999969482422,231.6999969482422,1983,0.0,0.0
2025-03-06 00:00:00+05:30,234.9499969482422,234.9499969482422,222.0,233.39999389648438,233.39999389648438,4833,0.0,0.0
2025-03-07 00:00:00+05:30,234.9499969482422,241.89999389648438,225.0,234.0,234.0,533,0.0,0.0
2025-03-10 00:00:00+05:30,239.89999389648438,240.9499969482422,223.0,223.25,223.25,944,0.0,0.0
2025-03-11 00:00:00+05:30,220.0,220.0,215.0,217.5,217.5,1075,0.0,0.0
2025-03-12 00:00:00+05:30,217.5,227.0,206.64999389648438,206.64999389648438,206.64999389648438,5414,0.0,0.0
2025-03-13 00:00:00+05:30,196.35000610351562,216.9499969482422,196.35000610351562,198.10000610351562,198.10000610351562,2892,0.0,0.0
2025-03-17 00:00:00+05:30,198.0,208.0,196.0,207.85000610351562,207.85000610351562,5135,0.0,0.0
2025-03-18 00:00:00+05:30,218.0,218.1999969482422,207.85000610351562,208.10000610351562,208.10000610351562,910,0.0,0.0
2025-03-19 00:00:00+05:30,218.5,218.5,218.5,218.5,218.5,1463,0.0,0.0
2025-03-20 00:00:00+05:30,229.39999389648438,229.39999389648438,229.39999389648438,229.39999389648438,229.39999389648438,1610,0.0,0.0
2025-03-21 00:00:00+05:30,240.85000610351562,240.85000610351562,240.85000610351562,240.85000610351562,240.85000610351562,608,0.0,0.0
2025-03-24 00:00:00+05:30,252.85000610351562,252.85000610351562,252.85000610351562,252.85000610351562,252.85000610351562,2035,0.0,0.0
2025-03-25 00:00:00+05:30,265.45001220703125,265.45001220703125,249.9499969482422,265.45001220703125,265.45001220703125,31136,0.0,0.0
2025-03-26 00:00:00+05:30,274.0,274.0,252.1999969482422,252.1999969482422,252.1999969482422,5944,0.0,0.0
2025-03-27 00:00:00+05:30,252.5,257.0,239.60000610351562,239.60000610351562,239.60000610351562,6368,0.0,0.0
2025-03-28 00:00:00+05:30,229.5,239.5500030517578,227.64999389648438,227.64999389648438,227.64999389648438,5229,0.0,0.0
