Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2024-03-28 00:00:00+05:30,219.0,229.0,219.0,222.60000610351562,222.60000610351562,43000,0.0,0.0,0.0
2024-04-01 00:00:00+05:30,232.0,241.8000030517578,228.0,233.0,233.0,27000,0.0,0.0,0.0
2024-04-02 00:00:00+05:30,235.39999389648438,241.35000610351562,234.0,240.1999969482422,240.1999969482422,9500,0.0,0.0,0.0
2024-04-03 00:00:00+05:30,241.35000610351562,243.0,230.0,236.0,236.0,19000,0.0,0.0,0.0
2024-04-04 00:00:00+05:30,236.0500030517578,236.5,229.0,230.89999389648438,230.89999389648438,16500,0.0,0.0,0.0
2024-04-05 00:00:00+05:30,228.0,237.64999389648438,228.0,232.9499969482422,232.9499969482422,12000,0.0,0.0,0.0
2024-04-08 00:00:00+05:30,234.0,236.5,230.0,232.0,232.0,5500,0.0,0.0,0.0
2024-04-09 00:00:00+05:30,235.0,235.10000610351562,231.0,231.0,231.0,8500,0.0,0.0,0.0
2024-04-10 00:00:00+05:30,227.5500030517578,231.60000610351562,227.0,228.25,228.25,11500,0.0,0.0,0.0
2024-04-12 00:00:00+05:30,232.0,232.0,225.3000030517578,225.3000030517578,225.3000030517578,7500,0.0,0.0,0.0
2024-04-15 00:00:00+05:30,220.0,228.0,218.0,225.75,225.75,10500,0.0,0.0,0.0
2024-04-16 00:00:00+05:30,222.39999389648438,227.6999969482422,218.0,221.1999969482422,221.1999969482422,32500,0.0,0.0,0.0
2024-04-18 00:00:00+05:30,222.0,228.0,216.5,224.25,224.25,22500,0.0,0.0,0.0
2024-04-19 00:00:00+05:30,224.25,226.8000030517578,217.5,221.8000030517578,221.8000030517578,21500,0.0,0.0,0.0
2024-04-22 00:00:00+05:30,221.8000030517578,226.0,219.0,221.75,221.75,15500,0.0,0.0,0.0
2024-04-23 00:00:00+05:30,221.10000610351562,225.0,220.0,220.9499969482422,220.9499969482422,14500,0.0,0.0,0.0
2024-04-24 00:00:00+05:30,222.0,226.0,219.5,220.0,220.0,29000,0.0,0.0,0.0
2024-04-25 00:00:00+05:30,223.0,232.0,222.0,231.60000610351562,231.60000610351562,27500,0.0,0.0,0.0
2024-04-26 00:00:00+05:30,241.64999389648438,241.64999389648438,233.75,233.75,233.75,24500,0.0,0.0,0.0
2024-04-29 00:00:00+05:30,233.0,254.0,227.85000610351562,245.0,245.0,34500,0.0,0.0,0.0
2024-04-30 00:00:00+05:30,245.0,294.0,241.0,286.29998779296875,286.29998779296875,214500,0.0,0.0,0.0
2024-05-02 00:00:00+05:30,279.0,279.0,252.25,261.6000061035156,261.6000061035156,100000,0.0,0.0,0.0
2024-05-03 00:00:00+05:30,255.0,255.0,241.0500030517578,241.89999389648438,241.89999389648438,50000,0.0,0.0,0.0
2024-05-06 00:00:00+05:30,235.85000610351562,235.85000610351562,227.0,231.64999389648438,231.64999389648438,38500,0.0,0.0,0.0
2024-05-07 00:00:00+05:30,231.0,231.0,225.14999389648438,228.60000610351562,228.60000610351562,17500,0.0,0.0,0.0
2024-05-08 00:00:00+05:30,232.0,234.0,226.0,228.0,228.0,12500,0.0,0.0,0.0
2024-05-09 00:00:00+05:30,229.0,230.0,225.10000610351562,226.0500030517578,226.0500030517578,14500,0.0,0.0,0.0
2024-05-10 00:00:00+05:30,226.0,230.0,223.0,225.0,225.0,20000,0.0,0.0,0.0
2024-05-13 00:00:00+05:30,214.25,224.89999389648438,214.25,221.0,221.0,13000,0.0,0.0,0.0
2024-05-14 00:00:00+05:30,222.0,239.9499969482422,216.0500030517578,237.0,237.0,35000,0.0,0.0,0.0
2024-05-15 00:00:00+05:30,236.0,253.0,236.0,244.6999969482422,244.6999969482422,56500,0.0,0.0,0.0
2024-05-16 00:00:00+05:30,244.6999969482422,251.5,244.0,248.0500030517578,248.0500030517578,52000,0.0,0.0,0.0
