Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2024-09-13 00:00:00+05:30,4670.0,4903.5,4600.0,4903.5,4903.5,36959,0.0,0.0
2024-09-16 00:00:00+05:30,5148.64990234375,5148.64990234375,5148.64990234375,5148.64990234375,5148.64990234375,41796,0.0,0.0
2024-09-17 00:00:00+05:30,5199.0,5199.0,4901.0,5143.0,5143.0,190092,0.0,0.0
2024-09-18 00:00:00+05:30,5100.0,5194.0,4916.75,5142.7001953125,5142.7001953125,106558,0.0,0.0
2024-09-19 00:00:00+05:30,5142.7001953125,5363.35009765625,5001.0,5349.9501953125,5349.9501953125,74963,0.0,0.0
2024-09-20 00:00:00+05:30,5374.9501953125,5375.0,5090.0,5112.5,5112.5,67766,0.0,0.0
2024-09-23 00:00:00+05:30,4933.0,5200.0,4875.0,5089.75,5089.75,36868,0.0,0.0
2024-09-24 00:00:00+05:30,5090.0,5295.0,4951.2001953125,5278.35009765625,5278.35009765625,14412,0.0,0.0
2024-09-25 00:00:00+05:30,5279.0,5300.10009765625,5125.0,5220.75,5220.75,92131,0.0,0.0
2024-09-26 00:00:00+05:30,5215.0,5215.0,5050.0,5102.39990234375,5102.39990234375,36179,0.0,0.0
2024-09-27 00:00:00+05:30,5198.0,5244.0,4990.0,5103.4501953125,5103.4501953125,47327,0.0,0.0
2024-09-30 00:00:00+05:30,5103.4501953125,5105.0,4950.0,5045.5,5045.5,21390,0.0,0.0
2024-10-01 00:00:00+05:30,5003.35009765625,5137.39990234375,4980.0,5073.35009765625,5073.35009765625,10149,0.0,0.0
2024-10-03 00:00:00+05:30,4901.0,5063.9501953125,4901.0,5020.64990234375,5020.64990234375,56171,0.0,0.0
2024-10-04 00:00:00+05:30,5080.0,5080.0,4900.0,4987.7998046875,4987.7998046875,20161,0.0,0.0
2024-10-07 00:00:00+05:30,4931.0,4987.7998046875,4700.0,4882.9501953125,4882.9501953125,44780,0.0,0.0
2024-10-08 00:00:00+05:30,4880.0,5120.0,4211.5498046875,5104.7001953125,5104.7001953125,13422,0.0,0.0
2024-10-09 00:00:00+05:30,5104.14990234375,5180.0,4930.0,4960.75,4960.75,8882,0.0,0.0
2024-10-10 00:00:00+05:30,5105.0,5178.2998046875,4950.2001953125,4983.7001953125,4983.7001953125,65223,0.0,0.0
2024-10-11 00:00:00+05:30,5000.0,5003.2001953125,4864.0,4902.0498046875,4902.0498046875,15939,0.0,0.0
2024-10-14 00:00:00+05:30,4903.0,5040.0,4800.0,4872.7998046875,4872.7998046875,9066,0.0,0.0
2024-10-15 00:00:00+05:30,4852.0,4852.0,4765.0498046875,4832.0,4832.0,12652,0.0,0.0
2024-10-16 00:00:00+05:30,4800.0,4882.35009765625,4615.0,4835.14990234375,4835.14990234375,17308,0.0,0.0
2024-10-17 00:00:00+05:30,4786.7998046875,4849.89990234375,4672.89990234375,4819.75,4819.75,13125,0.0,0.0
2024-10-18 00:00:00+05:30,4747.4501953125,4900.0,4696.35009765625,4823.7998046875,4823.7998046875,8876,0.0,0.0
2024-10-21 00:00:00+05:30,4872.0498046875,4915.0,4734.0498046875,4853.35009765625,4853.35009765625,12241,0.0,0.0
2024-10-22 00:00:00+05:30,4920.9501953125,4920.9501953125,4659.0498046875,4711.35009765625,4711.35009765625,20703,0.0,0.0
2024-10-23 00:00:00+05:30,4707.7001953125,4850.0,4602.60009765625,4807.7001953125,4807.7001953125,12018,0.0,0.0
2024-10-24 00:00:00+05:30,4820.0,4870.0,4722.0,4754.4501953125,4754.4501953125,14880,0.0,0.0
2024-10-25 00:00:00+05:30,4742.64990234375,4788.0,4613.0,4750.60009765625,4750.60009765625,12574,0.0,0.0
2024-10-28 00:00:00+05:30,4774.9501953125,4800.0,4684.0,4716.5498046875,4716.5498046875,3849,0.0,0.0
2024-10-29 00:00:00+05:30,4708.60009765625,4800.0,4700.10009765625,4720.0498046875,4720.0498046875,9589,0.0,0.0
2024-10-31 00:00:00+05:30,4900.0,4962.39990234375,4863.10009765625,4924.64990234375,4924.64990234375,7771,0.0,0.0
2024-11-01 00:00:00+05:30,4924.60009765625,4949.89990234375,4860.0,4933.5,4933.5,445,0.0,0.0
2024-11-04 00:00:00+05:30,4950.0,4953.5,4836.9501953125,4873.4501953125,4873.4501953125,5978,0.0,0.0
2024-11-06 00:00:00+05:30,4918.7001953125,4926.85009765625,4801.0,4874.2001953125,4874.2001953125,31838,0.0,0.0
2024-11-07 00:00:00+05:30,4872.14990234375,4926.25,4872.14990234375,4917.5498046875,4917.5498046875,4396,0.0,0.0
2024-11-08 00:00:00+05:30,4930.0,4940.0,4860.0498046875,4906.75,4906.75,46382,0.0,0.0
2024-11-11 00:00:00+05:30,4868.7001953125,4929.5498046875,4851.0,4916.2001953125,4916.2001953125,16684,0.0,0.0
2024-11-12 00:00:00+05:30,4940.0,4940.0,4851.0,4886.85009765625,4886.85009765625,2869,0.0,0.0
2024-11-13 00:00:00+05:30,4830.0,4869.89990234375,4797.5498046875,4832.25,4832.25,34027,0.0,0.0
2024-11-14 00:00:00+05:30,4830.0,4920.0,4790.0498046875,4818.25,4818.25,19780,0.0,0.0
2024-11-18 00:00:00+05:30,4899.0,4899.0,4790.0498046875,4837.5,4837.5,10605,0.0,0.0
2024-11-19 00:00:00+05:30,4801.0,4868.0498046875,4801.0,4825.39990234375,4825.39990234375,34009,0.0,0.0
2024-11-21 00:00:00+05:30,4801.0,4841.9501953125,4702.64990234375,4798.60009765625,4798.60009765625,30551,0.0,0.0
2024-11-22 00:00:00+05:30,4798.60009765625,4836.60009765625,4725.14990234375,4789.75,4789.75,29385,0.0,0.0
2024-11-25 00:00:00+05:30,4800.0,4836.9501953125,4760.2001953125,4789.2998046875,4789.2998046875,118304,0.0,0.0
2024-11-26 00:00:00+05:30,4788.35009765625,4814.14990234375,4755.0498046875,4794.0,4794.0,20933,0.0,0.0
2024-11-27 00:00:00+05:30,4794.0,4824.0,4776.0,4781.9501953125,4781.9501953125,2602,0.0,0.0
2024-11-28 00:00:00+05:30,4765.0,4839.0,4747.2998046875,4806.4501953125,4806.4501953125,22346,0.0,0.0
2024-11-29 00:00:00+05:30,4830.0,4854.7998046875,4761.0,4825.39990234375,4825.39990234375,23530,0.0,0.0
2024-12-02 00:00:00+05:30,4815.0,4840.0,4776.0,4799.35009765625,4799.35009765625,12092,0.0,0.0
2024-12-03 00:00:00+05:30,4799.35009765625,4829.0,4781.0498046875,4802.7001953125,4802.7001953125,9100,0.0,0.0
2024-12-04 00:00:00+05:30,4803.89990234375,4820.75,4781.10009765625,4800.64990234375,4800.64990234375,7075,0.0,0.0
2024-12-05 00:00:00+05:30,4810.5,4847.9501953125,4796.60009765625,4805.0,4805.0,7458,0.0,0.0
2024-12-06 00:00:00+05:30,4816.0,4829.0,4761.0498046875,4801.14990234375,4801.14990234375,11403,0.0,0.0
2024-12-09 00:00:00+05:30,4791.35009765625,4874.7998046875,4791.2998046875,4832.39990234375,4832.39990234375,8823,0.0,0.0
2024-12-10 00:00:00+05:30,4801.64990234375,4841.9501953125,4784.0498046875,4799.7001953125,4799.7001953125,28353,0.0,0.0
2024-12-11 00:00:00+05:30,4798.0,4835.4501953125,4786.0,4817.39990234375,4817.39990234375,13192,0.0,0.0
2024-12-12 00:00:00+05:30,4825.39990234375,4920.14990234375,4811.9501953125,4906.4501953125,4906.4501953125,12410,0.0,0.0
2024-12-13 00:00:00+05:30,4907.7001953125,4911.60009765625,4805.0,4821.64990234375,4821.64990234375,7898,0.0,0.0
2024-12-16 00:00:00+05:30,4801.0498046875,4849.0,4785.10009765625,4825.39990234375,4825.39990234375,9821,0.0,0.0
2024-12-17 00:00:00+05:30,4791.0,4840.2001953125,4791.0,4823.2998046875,4823.2998046875,18845,0.0,0.0
2024-12-18 00:00:00+05:30,4823.0498046875,4865.0,4806.14990234375,4836.2998046875,4836.2998046875,5820,0.0,0.0
2024-12-19 00:00:00+05:30,4820.2998046875,4874.85009765625,4813.7998046875,4860.14990234375,4860.14990234375,7860,0.0,0.0
2024-12-20 00:00:00+05:30,4825.10009765625,4880.0,4790.0,4809.85009765625,4809.85009765625,31215,0.0,0.0
2024-12-23 00:00:00+05:30,4811.7001953125,4846.5,4800.0,4810.25,4810.25,14529,0.0,0.0
2024-12-24 00:00:00+05:30,4810.0,4829.0,4569.0498046875,4819.64990234375,4819.64990234375,14644,0.0,0.0
2024-12-26 00:00:00+05:30,4818.0,4890.0,4799.9501953125,4881.60009765625,4881.60009765625,40650,0.0,0.0
2024-12-27 00:00:00+05:30,4881.60009765625,4911.60009765625,4848.0498046875,4882.0,4882.0,78112,0.0,0.0
2024-12-30 00:00:00+05:30,4883.0,4924.0,4849.7998046875,4909.2998046875,4909.2998046875,5115,0.0,0.0
2024-12-31 00:00:00+05:30,4899.0,4949.0,4851.64990234375,4927.39990234375,4927.39990234375,6633,0.0,0.0
2025-01-01 00:00:00+05:30,4927.39990234375,4949.0,4877.4501953125,4908.60009765625,4908.60009765625,2854,0.0,0.0
2025-01-02 00:00:00+05:30,4909.7998046875,5000.0,4892.0,4998.14990234375,4998.14990234375,78743,0.0,0.0
2025-01-03 00:00:00+05:30,4989.0,5030.85009765625,4901.0,4909.7998046875,4909.7998046875,4255,0.0,0.0
