Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2024-12-30 00:00:00+05:30,1031.550048828125,1031.550048828125,930.0999755859375,948.9000244140625,948.9000244140625,15545,0.0,0.0
2024-12-31 00:00:00+05:30,985.0,998.6500244140625,940.0,951.75,951.75,2351,0.0,0.0
2025-01-01 00:00:00+05:30,969.9500122070312,982.9500122070312,935.0,945.5,945.5,1924,0.0,0.0
2025-01-02 00:00:00+05:30,960.0499877929688,969.8499755859375,945.0,950.5499877929688,950.5499877929688,989,0.0,0.0
2025-01-03 00:00:00+05:30,950.5499877929688,963.0,948.0,961.25,961.25,748,0.0,0.0
2025-01-06 00:00:00+05:30,974.0,990.0,942.0,945.1500244140625,945.1500244140625,2212,0.0,0.0
2025-01-07 00:00:00+05:30,974.0,981.9500122070312,950.0499877929688,970.1500244140625,970.1500244140625,1431,0.0,0.0
2025-01-08 00:00:00+05:30,984.1500244140625,984.1500244140625,954.5,965.5,965.5,698,0.0,0.0
2025-01-09 00:00:00+05:30,980.9000244140625,980.9000244140625,941.0499877929688,946.8499755859375,946.8499755859375,889,0.0,0.0
2025-01-10 00:00:00+05:30,954.0,987.0,951.0,973.4000244140625,973.4000244140625,3654,0.0,0.0
2025-01-13 00:00:00+05:30,978.0,978.0,940.2000122070312,952.0499877929688,952.0499877929688,4371,0.0,0.0
2025-01-14 00:00:00+05:30,952.5499877929688,968.9500122070312,939.0,952.2999877929688,952.2999877929688,1031,0.0,0.0
2025-01-15 00:00:00+05:30,969.0,976.9000244140625,943.0999755859375,955.4000244140625,955.4000244140625,837,0.0,0.0
2025-01-16 00:00:00+05:30,964.8499755859375,964.8499755859375,942.5,945.7000122070312,945.7000122070312,1118,0.0,0.0
2025-01-17 00:00:00+05:30,942.3499755859375,963.5499877929688,942.3499755859375,956.7000122070312,956.7000122070312,600,0.0,0.0
2025-01-20 00:00:00+05:30,963.0,963.0,931.0,941.9500122070312,941.9500122070312,2604,0.0,0.0
2025-01-21 00:00:00+05:30,941.0999755859375,959.0,932.5,941.25,941.25,574,0.0,0.0
2025-01-22 00:00:00+05:30,940.2999877929688,949.0,905.0499877929688,919.8499755859375,919.8499755859375,1878,0.0,0.0
2025-01-23 00:00:00+05:30,907.0,928.4500122070312,901.0,923.5,923.5,732,0.0,0.0
2025-01-24 00:00:00+05:30,920.0,920.0,906.0,911.9500122070312,911.9500122070312,411,0.0,0.0
2025-01-27 00:00:00+05:30,909.0,911.0999755859375,808.5999755859375,851.5,851.5,2941,0.0,0.0
2025-01-28 00:00:00+05:30,844.0999755859375,875.2000122070312,765.0,824.5,824.5,6450,0.0,0.0
2025-01-29 00:00:00+05:30,874.9500122070312,896.8499755859375,821.5499877929688,857.7000122070312,857.7000122070312,950,0.0,0.0
2025-01-30 00:00:00+05:30,840.0,900.0,840.0,892.1500244140625,892.1500244140625,420,0.0,0.0
2025-01-31 00:00:00+05:30,867.0,893.4500122070312,866.9500122070312,892.4000244140625,892.4000244140625,372,0.0,0.0
2025-02-01 00:00:00+05:30,892.4000244140625,892.4000244140625,802.0,874.25,874.25,2362,0.0,0.0
2025-02-03 00:00:00+05:30,877.0,889.5,836.0,855.7999877929688,855.7999877929688,1588,0.0,0.0
2025-02-04 00:00:00+05:30,874.0,885.0,848.0,865.5999755859375,865.5999755859375,1155,0.0,0.0
2025-02-05 00:00:00+05:30,883.8499755859375,884.0499877929688,871.25,884.0,884.0,710,0.0,0.0
2025-02-06 00:00:00+05:30,886.9500122070312,897.8499755859375,860.0,888.7999877929688,888.7999877929688,558,0.0,0.0
2025-02-07 00:00:00+05:30,897.0,897.0,861.2000122070312,864.7999877929688,864.7999877929688,708,0.0,0.0
2025-02-10 00:00:00+05:30,897.7999877929688,929.0,851.0,860.7999877929688,860.7999877929688,1461,0.0,0.0
2025-02-11 00:00:00+05:30,828.0,848.0,816.0,836.75,836.75,918,0.0,0.0
2025-02-12 00:00:00+05:30,927.0,927.0,783.0499877929688,832.5499877929688,832.5499877929688,1874,0.0,0.0
2025-02-13 00:00:00+05:30,816.0,887.9500122070312,816.0,854.0999755859375,854.0999755859375,508,0.0,0.0
2025-02-14 00:00:00+05:30,877.7999877929688,879.9000244140625,811.0,834.25,834.25,1548,0.0,0.0
2025-02-17 00:00:00+05:30,834.2000122070312,834.25,785.0,802.0999755859375,802.0999755859375,1993,0.0,0.0
2025-02-18 00:00:00+05:30,792.2000122070312,813.9000244140625,775.0,786.5999755859375,786.5999755859375,1787,0.0,0.0
2025-02-19 00:00:00+05:30,815.0,850.0,787.0,828.4500122070312,828.4500122070312,629,0.0,0.0
