Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2024-03-28 00:00:00+05:30,396.0,428.54998779296875,396.0,428.54998779296875,428.54998779296875,17200,0.0,0.0,0.0
2024-04-01 00:00:00+05:30,441.95001220703125,449.95001220703125,441.95001220703125,449.95001220703125,449.95001220703125,3200,0.0,0.0,0.0
2024-04-02 00:00:00+05:30,472.3999938964844,472.3999938964844,437.0,472.20001220703125,472.20001220703125,18800,0.0,0.0,0.0
2024-04-03 00:00:00+05:30,493.8500061035156,495.79998779296875,492.0,495.79998779296875,495.79998779296875,10400,0.0,0.0,0.0
2024-04-04 00:00:00+05:30,520.5499877929688,520.5499877929688,518.9500122070312,520.5499877929688,520.5499877929688,14400,0.0,0.0,0.0
2024-04-05 00:00:00+05:30,538.0,543.9500122070312,500.25,525.0,525.0,13200,0.0,0.0,0.0
2024-04-08 00:00:00+05:30,525.0,543.4000244140625,499.0,504.6499938964844,504.6499938964844,8000,0.0,0.0,0.0
2024-04-09 00:00:00+05:30,484.29998779296875,496.0,484.29998779296875,496.0,496.0,6400,0.0,0.0,0.0
2024-04-10 00:00:00+05:30,477.0,505.0,477.0,502.5,502.5,2000,0.0,0.0,0.0
2024-04-12 00:00:00+05:30,500.0,500.0,477.3999938964844,477.3999938964844,477.3999938964844,3200,0.0,0.0,0.0
2024-04-15 00:00:00+05:30,455.0,475.0,453.54998779296875,475.0,475.0,3200,0.0,0.0,0.0
2024-04-16 00:00:00+05:30,460.0,469.0,460.0,469.0,469.0,1600,0.0,0.0,0.0
2024-04-18 00:00:00+05:30,469.0,474.79998779296875,445.54998779296875,445.54998779296875,445.54998779296875,10400,0.0,0.0,0.0
2024-04-19 00:00:00+05:30,424.0,439.0,423.29998779296875,432.95001220703125,432.95001220703125,24000,0.0,0.0,0.0
2024-04-22 00:00:00+05:30,412.3500061035156,439.5,411.29998779296875,424.45001220703125,424.45001220703125,30800,0.0,0.0,0.0
2024-04-23 00:00:00+05:30,409.0,418.95001220703125,407.0,410.6499938964844,410.6499938964844,8800,0.0,0.0,0.0
2024-04-24 00:00:00+05:30,400.5,424.20001220703125,400.0,418.0,418.0,7200,0.0,0.0,0.0
2024-04-25 00:00:00+05:30,410.75,427.0,410.6499938964844,427.0,427.0,2400,0.0,0.0,0.0
2024-04-26 00:00:00+05:30,427.0,429.8500061035156,425.0,428.6000061035156,428.6000061035156,2800,0.0,0.0,0.0
2024-04-29 00:00:00+05:30,428.6000061035156,429.8999938964844,414.0,419.70001220703125,419.70001220703125,11600,0.0,0.0,0.0
2024-04-30 00:00:00+05:30,428.0,428.0,403.0,420.3999938964844,420.3999938964844,7400,0.0,0.0,0.0
2024-05-02 00:00:00+05:30,403.25,423.79998779296875,403.04998779296875,412.3500061035156,412.3500061035156,9600,0.0,0.0,0.0
2024-05-03 00:00:00+05:30,406.54998779296875,415.0,391.75,398.25,398.25,25200,0.0,0.0,0.0
2024-05-06 00:00:00+05:30,386.04998779296875,404.95001220703125,386.04998779296875,404.95001220703125,404.95001220703125,3000,0.0,0.0,0.0
2024-05-07 00:00:00+05:30,409.0,409.95001220703125,392.0,400.3500061035156,400.3500061035156,4800,0.0,0.0,0.0
2024-05-08 00:00:00+05:30,399.0,400.20001220703125,399.0,400.0,400.0,2400,0.0,0.0,0.0
2024-05-09 00:00:00+05:30,402.0,402.0,402.0,402.0,402.0,400,0.0,0.0,0.0
2024-05-10 00:00:00+05:30,402.0,419.95001220703125,402.0,412.0,412.0,2600,0.0,0.0,0.0
2024-05-13 00:00:00+05:30,410.0,410.0,391.3999938964844,400.6000061035156,400.6000061035156,3600,0.0,0.0,0.0
2024-05-14 00:00:00+05:30,395.0,420.0,395.0,406.95001220703125,406.95001220703125,7200,0.0,0.0,0.0
2024-05-15 00:00:00+05:30,405.0,405.0,399.0,405.0,405.0,5200,0.0,0.0,0.0
2024-05-16 00:00:00+05:30,410.0,410.0,398.0,405.0,405.0,1000,0.0,0.0,0.0
2024-05-17 00:00:00+05:30,405.0,405.0,397.3999938964844,400.20001220703125,400.20001220703125,2000,0.0,0.0,0.0
2024-05-21 00:00:00+05:30,409.0,409.0,405.0,405.0,405.0,3400,0.0,0.0,0.0
2024-05-22 00:00:00+05:30,396.0,405.0,395.0,400.5,400.5,2000,0.0,0.0,0.0
2024-05-23 00:00:00+05:30,397.0,405.0,395.0,404.5,404.5,2800,0.0,0.0,0.0
2024-05-24 00:00:00+05:30,395.04998779296875,400.0,395.0,400.0,400.0,3000,0.0,0.0,0.0
2024-05-27 00:00:00+05:30,390.5,398.70001220703125,382.70001220703125,384.6000061035156,384.6000061035156,7200,0.0,0.0,0.0
2024-05-28 00:00:00+05:30,389.95001220703125,390.0,383.5,388.0,388.0,2200,0.0,0.0,0.0
2024-05-29 00:00:00+05:30,388.0,390.0,371.0,377.3500061035156,377.3500061035156,8000,0.0,0.0,0.0
2024-05-30 00:00:00+05:30,370.0,383.0,362.3999938964844,377.6000061035156,377.6000061035156,6200,0.0,0.0,0.0
2024-05-31 00:00:00+05:30,372.0,383.79998779296875,370.0,383.79998779296875,383.79998779296875,1800,0.0,0.0,0.0
2024-06-03 00:00:00+05:30,400.0,400.0,380.5,394.8500061035156,394.8500061035156,4000,0.0,0.0,0.0
2024-06-04 00:00:00+05:30,386.0,386.0,375.1000061035156,379.8999938964844,379.8999938964844,4200,0.0,0.0,0.0
2024-06-05 00:00:00+05:30,379.70001220703125,379.8500061035156,379.70001220703125,379.8500061035156,379.8500061035156,400,0.0,0.0,0.0
2024-06-06 00:00:00+05:30,369.1499938964844,378.45001220703125,361.1000061035156,375.20001220703125,375.20001220703125,3400,0.0,0.0,0.0
2024-06-07 00:00:00+05:30,379.3999938964844,379.5,379.3999938964844,379.5,379.5,800,0.0,0.0,0.0
2024-06-10 00:00:00+05:30,380.0,394.0,380.0,387.0,387.0,2400,0.0,0.0,0.0
2024-06-11 00:00:00+05:30,388.0,388.0,370.0,373.3999938964844,373.3999938964844,4400,0.0,0.0,0.0
2024-06-12 00:00:00+05:30,372.0,377.0,370.0,372.95001220703125,372.95001220703125,2800,0.0,0.0,0.0
2024-06-13 00:00:00+05:30,372.8999938964844,386.0,342.5,369.95001220703125,369.95001220703125,47000,0.0,0.0,0.0
2024-06-14 00:00:00+05:30,369.95001220703125,372.0,350.04998779296875,371.95001220703125,371.95001220703125,5200,0.0,0.0,0.0
2024-06-18 00:00:00+05:30,361.70001220703125,370.0,350.0,357.54998779296875,357.54998779296875,25600,0.0,0.0,0.0
2024-06-19 00:00:00+05:30,357.54998779296875,358.79998779296875,350.0,350.04998779296875,350.04998779296875,6600,0.0,0.0,0.0
2024-06-20 00:00:00+05:30,350.29998779296875,359.95001220703125,350.0,358.54998779296875,358.54998779296875,7800,0.0,0.0,0.0
2024-06-21 00:00:00+05:30,342.5,368.95001220703125,325.0,346.0,346.0,140800,0.0,0.0,0.0
2024-06-24 00:00:00+05:30,350.0,355.0,320.0,329.29998779296875,329.29998779296875,52200,0.0,0.0,0.0
2024-06-25 00:00:00+05:30,330.1000061035156,350.0,324.0,326.45001220703125,326.45001220703125,23400,0.0,0.0,0.0
2024-06-26 00:00:00+05:30,330.0,350.0,330.0,339.04998779296875,339.04998779296875,30200,0.0,0.0,0.0
2024-06-27 00:00:00+05:30,344.0,347.0,329.0,330.75,330.75,21000,0.0,0.0,0.0
2024-06-28 00:00:00+05:30,334.0,352.5,334.0,347.1000061035156,347.1000061035156,10400,0.0,0.0,0.0
2024-07-01 00:00:00+05:30,358.8999938964844,381.79998779296875,353.8999938964844,373.25,373.25,28000,0.0,0.0,0.0
2024-07-02 00:00:00+05:30,382.0,387.0,375.5,381.0,381.0,8000,0.0,0.0,0.0
2024-07-03 00:00:00+05:30,379.8999938964844,389.5,372.0,386.8500061035156,386.8500061035156,17000,0.0,0.0,0.0
2024-07-04 00:00:00+05:30,390.0,397.0,379.0,380.0,380.0,8600,0.0,0.0,0.0
2024-07-05 00:00:00+05:30,383.0,387.0,372.0,375.6499938964844,375.6499938964844,6800,0.0,0.0,0.0
2024-07-08 00:00:00+05:30,370.0,370.0,360.0,368.79998779296875,368.79998779296875,3800,0.0,0.0,0.0
2024-07-09 00:00:00+05:30,360.0,368.0,350.0,366.70001220703125,366.70001220703125,3200,0.0,0.0,0.0
2024-07-10 00:00:00+05:30,352.0,352.0,340.0,349.0,349.0,11000,0.0,0.0,0.0
2024-07-11 00:00:00+05:30,349.0,355.45001220703125,344.3500061035156,345.29998779296875,345.29998779296875,1800,0.0,0.0,0.0
2024-07-12 00:00:00+05:30,336.6000061035156,344.6000061035156,331.0,338.0,338.0,17200,0.0,0.0,0.0
2024-07-15 00:00:00+05:30,337.95001220703125,345.0,337.95001220703125,338.0,338.0,2200,0.0,0.0,0.0
2024-07-16 00:00:00+05:30,338.0,345.0,338.0,341.0,341.0,3000,0.0,0.0,0.0
2024-07-18 00:00:00+05:30,340.0,341.0,336.0,339.5,339.5,2000,0.0,0.0,0.0
2024-07-19 00:00:00+05:30,333.1000061035156,337.8999938964844,326.04998779296875,329.1000061035156,329.1000061035156,10000,0.0,0.0,0.0
2024-07-22 00:00:00+05:30,322.25,337.75,322.25,337.70001220703125,337.70001220703125,1600,0.0,0.0,0.0
2024-07-23 00:00:00+05:30,327.6499938964844,331.0,318.20001220703125,326.8500061035156,326.8500061035156,7600,0.0,0.0,0.0
2024-07-24 00:00:00+05:30,324.5,329.0,320.04998779296875,326.6000061035156,326.6000061035156,6000,0.0,0.0,0.0
2024-07-25 00:00:00+05:30,323.04998779296875,325.0,321.54998779296875,323.54998779296875,323.54998779296875,6000,0.0,0.0,0.0
2024-07-26 00:00:00+05:30,329.8999938964844,329.8999938964844,316.0,317.70001220703125,317.70001220703125,5800,0.0,0.0,0.0
2024-07-29 00:00:00+05:30,325.0,333.0,325.0,329.1000061035156,329.1000061035156,1600,0.0,0.0,0.0
2024-07-30 00:00:00+05:30,339.0,352.0,333.20001220703125,346.6000061035156,346.6000061035156,5600,0.0,0.0,0.0
2024-07-31 00:00:00+05:30,359.0,359.0,320.04998779296875,332.0,332.0,19000,0.0,0.0,0.0
2024-08-01 00:00:00+05:30,341.79998779296875,341.79998779296875,315.0,319.95001220703125,319.95001220703125,15400,0.0,0.0,0.0
2024-08-02 00:00:00+05:30,312.6000061035156,318.0,312.0,314.95001220703125,314.95001220703125,7600,0.0,0.0,0.0
2024-08-05 00:00:00+05:30,305.0,312.0,290.5,293.3500061035156,293.3500061035156,13000,0.0,0.0,0.0
2024-08-06 00:00:00+05:30,305.0,310.0,291.0,292.0,292.0,22600,0.0,0.0,0.0
2024-08-07 00:00:00+05:30,299.3999938964844,299.95001220703125,298.5,298.5,298.5,600,0.0,0.0,0.0
2024-08-08 00:00:00+05:30,293.0,295.0,285.29998779296875,287.54998779296875,287.54998779296875,5800,0.0,0.0,0.0
2024-08-09 00:00:00+05:30,290.1000061035156,290.8999938964844,280.0,284.0,284.0,6000,0.0,0.0,0.0
2024-08-12 00:00:00+05:30,282.0,282.95001220703125,274.0,274.75,274.75,10000,0.0,0.0,0.0
2024-08-13 00:00:00+05:30,272.0,272.04998779296875,251.0,255.8000030517578,255.8000030517578,13200,0.0,0.0,0.0
2024-08-14 00:00:00+05:30,250.0,255.0,242.5,250.75,250.75,15600,0.0,0.0,0.0
2024-08-16 00:00:00+05:30,255.0,264.5,250.0,250.0,250.0,7800,0.0,0.0,0.0
2024-08-19 00:00:00+05:30,254.89999389648438,277.5,254.89999389648438,276.8999938964844,276.8999938964844,4200,0.0,0.0,0.0
2024-08-20 00:00:00+05:30,276.8999938964844,310.0,272.20001220703125,290.0,290.0,9200,0.0,0.0,0.0
2024-08-21 00:00:00+05:30,299.79998779296875,299.79998779296875,260.0,281.95001220703125,281.95001220703125,14800,0.0,0.0,0.0
2024-08-22 00:00:00+05:30,280.0,299.0,280.0,296.3999938964844,296.3999938964844,3000,0.0,0.0,0.0
2024-08-23 00:00:00+05:30,309.0,319.0,307.0,316.1499938964844,316.1499938964844,9000,0.0,0.0,0.0
2024-08-26 00:00:00+05:30,318.0,325.0,317.0,321.0,321.0,10000,0.0,0.0,0.0
2024-08-27 00:00:00+05:30,315.0,326.0,300.0,303.95001220703125,303.95001220703125,12400,0.0,0.0,0.0
2024-08-28 00:00:00+05:30,303.95001220703125,303.95001220703125,303.95001220703125,303.95001220703125,303.95001220703125,1400,0.0,0.0,0.0
2024-08-29 00:00:00+05:30,319.5,319.5,295.0,299.54998779296875,299.54998779296875,8800,0.0,0.0,0.0
2024-08-30 00:00:00+05:30,305.0,312.5,299.54998779296875,308.29998779296875,308.29998779296875,2400,0.0,0.0,0.0
2024-09-02 00:00:00+05:30,300.20001220703125,301.0,300.0,301.0,301.0,600,0.0,0.0,0.0
2024-09-03 00:00:00+05:30,301.0,322.5,300.0,308.0,308.0,5800,0.0,0.0,0.0
2024-09-04 00:00:00+05:30,312.8999938964844,312.8999938964844,300.0,306.45001220703125,306.45001220703125,9600,0.0,0.0,0.0
2024-09-05 00:00:00+05:30,305.0,307.0,305.0,306.95001220703125,306.95001220703125,800,0.0,0.0,0.0
2024-09-06 00:00:00+05:30,295.0,334.0,291.0,303.25,303.25,9400,0.0,0.0,0.0
2024-09-09 00:00:00+05:30,304.8500061035156,305.0,304.0,304.5,304.5,800,0.0,0.0,0.0
2024-09-10 00:00:00+05:30,304.5,309.70001220703125,295.0,307.70001220703125,307.70001220703125,2200,0.0,0.0,0.0
2024-09-11 00:00:00+05:30,307.5,307.5,285.0,289.1000061035156,289.1000061035156,3400,0.0,0.0,0.0
2024-09-12 00:00:00+05:30,297.0,299.0,288.54998779296875,296.8999938964844,296.8999938964844,2200,0.0,0.0,0.0
2024-09-13 00:00:00+05:30,296.79998779296875,296.79998779296875,289.95001220703125,290.0,290.0,2800,0.0,0.0,0.0
2024-09-16 00:00:00+05:30,290.0,290.1000061035156,290.0,290.1000061035156,290.1000061035156,2200,0.0,0.0,0.0
2024-09-17 00:00:00+05:30,319.0,319.0,295.0,298.0,298.0,2600,0.0,0.0,0.0
2024-09-18 00:00:00+05:30,296.25,296.25,288.0,288.0,288.0,400,0.0,0.0,0.0
2024-09-19 00:00:00+05:30,284.0,300.0,270.20001220703125,292.75,292.75,10200,0.0,0.0,0.0
2024-09-20 00:00:00+05:30,299.0,309.0,299.0,301.0,301.0,7000,0.0,0.0,0.0
2024-09-23 00:00:00+05:30,310.0,310.0,290.0,296.0,296.0,15600,0.0,0.0,0.0
2024-09-24 00:00:00+05:30,297.0,297.0,288.1000061035156,291.0,291.0,6400,0.0,0.0,0.0
2024-09-25 00:00:00+05:30,265.0,287.45001220703125,261.0,278.54998779296875,278.54998779296875,10800,0.0,0.0,0.0
2024-09-26 00:00:00+05:30,278.54998779296875,290.0,278.54998779296875,282.0,282.0,3600,0.0,0.0,0.0
2024-09-27 00:00:00+05:30,287.6000061035156,287.75,273.0,275.1499938964844,275.1499938964844,6800,0.0,0.0,0.0
2024-09-30 00:00:00+05:30,275.1499938964844,275.1499938964844,275.1499938964844,275.1499938964844,275.1499938964844,0,0.0,0.0,0.0
2024-10-01 00:00:00+05:30,281.29998779296875,282.0,281.29998779296875,282.0,282.0,1800,0.0,0.0,0.0
2024-10-03 00:00:00+05:30,282.0,289.8999938964844,270.54998779296875,273.6000061035156,273.6000061035156,3400,0.0,0.0,0.0
2024-10-04 00:00:00+05:30,276.0,279.45001220703125,271.25,279.45001220703125,279.45001220703125,1600,0.0,0.0,0.0
2024-10-07 00:00:00+05:30,278.0,278.0,255.0,270.0,270.0,1600,0.0,0.0,0.0
2024-10-08 00:00:00+05:30,265.0,278.75,265.0,278.70001220703125,278.70001220703125,800,0.0,0.0,0.0
2024-10-09 00:00:00+05:30,269.0,278.45001220703125,265.04998779296875,270.8500061035156,270.8500061035156,3800,0.0,0.0,0.0
2024-10-10 00:00:00+05:30,270.0,279.0,253.60000610351562,265.75,265.75,6000,0.0,0.0,0.0
2024-10-11 00:00:00+05:30,265.0,318.8999938964844,258.3500061035156,294.95001220703125,294.95001220703125,21600,0.0,0.0,0.0
2024-10-14 00:00:00+05:30,295.5,306.0,290.3999938964844,303.1499938964844,303.1499938964844,18000,0.0,0.0,0.0
2024-10-15 00:00:00+05:30,303.1499938964844,310.8999938964844,298.54998779296875,301.54998779296875,301.54998779296875,2600,0.0,0.0,0.0
2024-10-16 00:00:00+05:30,302.5,303.25,300.0,302.95001220703125,302.95001220703125,4600,0.0,0.0,0.0
2024-10-17 00:00:00+05:30,302.5,302.5,297.04998779296875,299.8999938964844,299.8999938964844,11600,0.0,0.0,0.0
2024-10-18 00:00:00+05:30,300.0,300.0,280.5,286.3500061035156,286.3500061035156,9000,0.0,0.0,0.0
2024-10-21 00:00:00+05:30,290.0,290.0,266.0,270.8999938964844,270.8999938964844,12200,0.0,0.0,0.0
2024-10-22 00:00:00+05:30,269.0,278.20001220703125,252.89999389648438,254.64999389648438,254.64999389648438,9400,0.0,0.0,0.0
2024-10-23 00:00:00+05:30,250.1999969482422,258.45001220703125,249.5,250.6999969482422,250.6999969482422,9400,0.0,0.0,0.0
2024-10-24 00:00:00+05:30,250.0,255.0,242.0,245.5500030517578,245.5500030517578,12600,0.0,0.0,0.0
2024-10-25 00:00:00+05:30,245.5500030517578,250.0,240.3000030517578,248.0,248.0,16200,0.0,0.0,0.0
2024-10-28 00:00:00+05:30,250.0,254.85000610351562,230.0,235.8000030517578,235.8000030517578,10400,0.0,0.0,0.0
2024-10-29 00:00:00+05:30,240.0,245.0,237.0,241.39999389648438,241.39999389648438,3800,0.0,0.0,0.0
2024-10-30 00:00:00+05:30,250.0,250.0,245.0,247.3000030517578,247.3000030517578,1200,0.0,0.0,0.0
